Fair,73.77717391304348,76.77793904208998,67.60660247592847,24.422673198040588,14.19753086419753,9.69351389878831,7.837648705388384,11.475409836065573,7.423269093504639,5.886379192334018,30.077301475755448,28.046289993192648
Partly Cloudy,24.932065217391305,23.00435413642961,32.04951856946355,71.37858642407278,82.1673525377229,78.83107626514612,82.64520643806857,69.05737704918032,74.94646680942184,54.82546201232032,63.31693605059733,66.30360789652825
Mostly Cloudy,0.6793478260869565,0.0,0.34387895460797796,2.0293911826452065,0.9602194787379973,4.13399857448325,3.9888033589923024,12.363387978142077,8.779443254817988,25.051334702258725,5.270555165144062,3.7440435670524166
Light Rain,0.20380434782608695,0.0,0.0,0.9097270818754375,0.7544581618655692,3.3499643620812543,1.819454163750875,4.849726775956284,4.496788008565311,10.951403148528405,0.4919184820801124,0.13614703880190604
Fair / Windy,0.1358695652173913,0.14513788098693758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07027406886858749,0.8168822328114363
Light Rain with Thunder,0.0,0.0,0.0,0.489853044086774,0.48010973936899864,2.3521026372059874,1.3296011196641007,0.8879781420765027,2.6409707351891507,1.4373716632443532,0.4216444132115249,0.0
Thunder,0.0,0.0,0.0,0.13995801259622112,0.48010973936899864,0.21382751247327159,0.979706088173548,0.06830601092896176,0.7851534618129907,0.0,0.14054813773717498,0.06807351940095302
T-Storm,0.0,0.0,0.0,0.4198740377886634,0.3429355281207133,0.9978617248752674,0.9097270818754375,0.7513661202185792,0.5710206995003569,1.0951403148528405,0.14054813773717498,0.4084411164057182
T-Storm / Windy,0.0,0.0,0.0,0.0,0.1371742112482853,0.07127583749109052,0.0,0.0,0.0,0.0,0.0,0.0
Thunder / Windy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partly Cloudy / Windy,0.0,0.07256894049346879,0.0,0.13995801259622112,0.205761316872428,0.07127583749109052,0.34989503149055284,0.1366120218579235,0.0,0.06844626967830253,0.0,0.3403675970047651
Light Rain Shower / Windy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Showers in the Vicinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light Rain / Windy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heavy T-Storm,0.0,0.0,0.0,0.0,0.0,0.2851033499643621,0.06997900629811056,0.0,0.14275517487508924,0.06844626967830253,0.0,0.0
Heavy Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mostly Cloudy / Windy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06807351940095302
Thunder in the Vicinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06844626967830253,0.0,0.0
Rain,0.0,0.0,0.0,0.06997900629811056,0.205761316872428,0.0,0.0,0.34153005464480873,0.14275517487508924,0.2737850787132101,0.0,0.06807351940095302
Light Rain Shower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heavy T-Storm / Windy,0.0,0.0,0.0,0.0,0.0,0.0,0.06997900629811056,0.0,0.07137758743754462,0.0,0.0,0.0
Haze,0.2717391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rain Shower,0.0,0.0,0.0,0.0,0.06858710562414265,0.0,0.0,0.06830601092896176,0.0,0.0,0.07027406886858749,0.0
Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737850787132101,0.0,0.0
